"var","imp","rank"
"Age","0.156559930210988",1
"Vital_E","0.118533277494763",2
"Lab_H","0.118532890153537",3
"Lab_K","0.110810299141018",4
"Lab_B","0.0866187239385785",5
"Vital_A","0.0485070722750818",6
"Lab_M","0.0225321738457132",7
"Lab_G","0.0224950535827357",8
"Vital_C","0.0199301090559423",9
"Lab_C","0.0196315606930962",10
"Vital_B","0.0114565396252384",11
"Lab_F","0.00976274431953334",12
"Lab_J","0.00968892593126762",13
"Vital_D","0.00760323974964814",14
"Vital_F","0.00728875150906074",15
"Vital_G","0.00682968364481504",16
"Lab_D","0.00672233584845532",17
"Lab_I","0.00584822845607937",18
"Lab_L","0.00580965507177216",19
"Lab_E","0.00514162400261378",20
"Lab_A","0.00414066178397432",21
