"var","imp","rank"
"Age","48.0755191911851",1
"Lab_H","44.3650879897801",2
"Lab_K","44.2838156480844",3
"Lab_B","43.7754786375817",4
"Vital_E","43.0743697630055",5
"Lab_A","33.3681703159968",6
"Lab_M","31.5755847205249",7
"Lab_I","30.6223126395006",8
"Lab_J","27.7003293468706",9
"Vital_B","27.2471155932973",10
"Lab_C","26.1561849712739",11
"Lab_D","26.1546211493491",12
"Vital_C","23.9975527495264",13
"Lab_F","23.6811505138689",14
"Lab_L","23.6261130794627",15
"Lab_E","23.3114351115799",16
"Vital_F","23.0182240010688",17
"Vital_D","22.3663923254515",18
"Lab_G","18.1617657093593",19
"Vital_G","17.530971781328",20
