"","V1"
"Vital_E[15,18)",0.48227761255706
"Vital_E[18,20)",0.780648710535082
"Vital_E[20,22)",1.00397111406129
"Vital_E[22,)",1.40894936453188
"Age[49,59)",0.653714499324867
"Age[59,67)",1.04897931351698
"Age[67,75)",1.31323853751064
"Age[75,)",1.8616763493332
"Lab_H[1,2)",0.467393903769808
"Lab_H[2,3)",0.890093698051496
"Lab_H[3,)",1.41912712416457
"Lab_K[19,30)",0.523355413723582
"Lab_K[30,42)",0.756970069266773
"Lab_K[42,)",1.09540962139272
"Lab_K[8,19)",0.245283789418433
"Lab_B[11,13)",0.241064356944497
"Lab_B[13,15)",0.508585018829875
"Lab_B[15,17)",0.641883937418056
"Lab_B[17,)",0.988591265943769
"Vital_A[73,82)",0.491948603667489
"Vital_A[82,89)",0.693203884045484
"Vital_A[89,99)",0.918755814140045
"Vital_A[99,)",1.3010608997535
"Lab_G[11,13)",-0.631594382371902
"Lab_G[13,)",-1.0440499943125
"Lab_G[9,11)",-0.319181211724421
"Vital_B[105,115)",-0.215359269122934
"Vital_B[115,123)",-0.381467720542574
"Vital_B[123,133)",-0.430525861916387
"Vital_B[133,)",-0.653814333278282
"Vital_C[52,59)",-0.196271777223604
"Vital_C[59,64)",-0.354137330416665
"Vital_C[64,71)",-0.432901645249619
"Vital_C[71,)",-0.780034696358939
"Lab_M[10,14)",0.348706827955632
"Lab_M[14,19)",0.466654133105819
"Lab_M[19,)",0.688020945520522
"Lab_M[4,10)",0.180619949130333
"Lab_C[20,23)",-0.112277902780543
"Lab_C[23,25)",-0.211488493062015
"Lab_C[25,28)",-0.214724221532904
"Lab_C[28,)",-0.302770239417846
"Lab_J[4,5)",-0.219580529726644
"Lab_J[5,)",-0.514739130443975
"Lab_F[28,31)",0.0823201251413644
"Lab_F[31,34)",0.1970796565831
"Lab_F[34,38)",0.237195552795527
"Lab_F[38,)",0.4396720794537
"Vital_D[69,76)",0.101094094392427
"Vital_D[76,82)",0.176042047293743
"Vital_D[82,88)",0.35075014149426
"Vital_D[88,)",0.393216154767932
"Lab_I[130,196)",-0.237843459932545
"Lab_I[196,258)",-0.370198062735795
"Lab_I[258,327)",-0.449200582232744
"Lab_I[327,)",-0.706752340196932
"Vital_F[36,37)",-0.197984641391955
"Vital_F[37,)",-0.344551032278909
"Vital_G[95,97)",-0.0216203161417043
"Vital_G[97,98)",0.0211270541228139
"Vital_G[98,99)",-0.105904008844853
"Vital_G[99,)",-0.0766133697273598
"Lab_A[103,129)",0.069217865012719
"Lab_A[129,149)",0.0871297233202406
"Lab_A[149,174)",0.132285493128214
"Lab_A[174,)",0.181451745567641
"Lab_L[135,137)",0.0554616711725197
"Lab_L[137,139)",0.0525070517549735
"Lab_L[139,142)",0.127917551264724
"Lab_L[142,)",0.148382061514051
"Lab_E[100,103)",-0.134069790867239
"Lab_E[103,106)",-0.210944963602611
"Lab_E[106,109)",-0.267339581106005
"Lab_E[109,)",-0.475664076671739
