"","V1"
"Vital_E[15,18)",0.527180450759956
"Vital_E[18,20)",0.799001613957553
"Vital_E[20,22)",1.04358192012497
"Vital_E[22,)",1.45130016275006
"Age[49,59)",0.63978769996134
"Age[59,67)",1.00665203024212
"Age[67,75)",1.30147313407237
"Age[75,)",1.88539541750644
"Lab_H[1,2)",0.479714282929311
"Lab_H[2,3)",0.866797094393212
"Lab_H[3,)",1.39785245671273
"Lab_K[19,30)",0.574989395726433
"Lab_K[30,42)",0.927309157072366
"Lab_K[42,)",1.38616169369287
"Lab_K[8,19)",0.305913519768318
"Lab_B[11,13)",0.307400390947876
"Lab_B[13,15)",0.5880914681674
"Lab_B[15,17)",0.783002151592441
"Lab_B[17,)",1.17647118955833
"Vital_A[73,82)",0.500704704787735
"Vital_A[82,89)",0.708438090062182
"Vital_A[89,99)",0.921668677686874
"Vital_A[99,)",1.32881819622389
"Lab_G[11,13)",-0.85537886659177
"Lab_G[13,)",-1.33804336199064
"Lab_G[9,11)",-0.490623557897289
"Vital_B[105,115)",-0.163789702388804
"Vital_B[115,123)",-0.337372136446462
"Vital_B[123,133)",-0.405006225841914
"Vital_B[133,)",-0.613285224751392
"Vital_C[52,59)",-0.139401532035486
"Vital_C[59,64)",-0.29557479199754
"Vital_C[64,71)",-0.379180467179999
"Vital_C[71,)",-0.690054669877579
"Lab_M[10,14)",0.330357346976187
"Lab_M[14,19)",0.421365348776605
"Lab_M[19,)",0.660119625531483
"Lab_M[4,10)",0.102888580686442
"Lab_C[20,23)",-0.166990030063937
"Lab_C[23,25)",-0.278871473139663
"Lab_C[25,28)",-0.312312523541021
"Lab_C[28,)",-0.391536792059725
"Lab_J[4,5)",-0.211022294408911
"Lab_J[5,)",-0.437842027777216
"Lab_F[28,31)",0.128421127286282
"Lab_F[31,34)",0.268949153178741
"Lab_F[34,38)",0.314695667354577
"Lab_F[38,)",0.531446915923346
"Vital_D[69,76)",0.118337366791073
"Vital_D[76,82)",0.165873218621952
"Vital_D[82,88)",0.320908100028882
"Vital_D[88,)",0.428062101315993
"Lab_I[130,196)",-0.273757992686591
"Lab_I[196,258)",-0.428968239309509
"Lab_I[258,327)",-0.541411797385783
"Lab_I[327,)",-0.802253715528576
"Vital_F[36,37)",-0.14433353306334
"Vital_F[37,)",-0.308676991689137
"Vital_G[95,97)",-0.0943718050029247
"Vital_G[97,98)",-0.0686691108578972
"Vital_G[98,99)",-0.140211875654083
"Vital_G[99,)",-0.167937499150785
"Lab_A[103,129)",0.0832732578051984
"Lab_A[129,149)",0.135200931834795
"Lab_A[149,174)",0.143669378248725
"Lab_A[174,)",0.205231936483528
"Lab_L[135,137)",0.0426932816827856
"Lab_L[137,139)",0.0536397588903724
"Lab_L[139,142)",0.143586622408578
"Lab_L[142,)",0.170215008653928
"Lab_E[100,103)",-0.136285795624495
"Lab_E[103,106)",-0.262560305800075
"Lab_E[106,109)",-0.33768307090394
"Lab_E[109,)",-0.600337465396127
"Lab_D[1,2)",-0.214950757160337
"Lab_D[2,3)",-0.446637213080794
"Lab_D[3,)",-0.632841834861027
