"","V1"
"Vital_E[15,18)",0.506482743227915
"Vital_E[18,20)",0.810113971097002
"Vital_E[20,22)",1.04096639302804
"Vital_E[22,)",1.42043652509883
"Age[49,59)",0.632949643872527
"Age[59,67)",1.05690237270802
"Age[67,75)",1.33058670359318
"Age[75,)",1.85224454772668
"Lab_H[1,2)",0.460895358380561
"Lab_H[2,3)",0.902807399387807
"Lab_H[3,)",1.43521728789526
"Lab_K[19,30)",0.526875735507972
"Lab_K[30,42)",0.815796135003096
"Lab_K[42,)",1.165520107726
"Lab_K[8,19)",0.280744515729136
"Lab_B[11,13)",0.295289207078036
"Lab_B[13,15)",0.610686655041696
"Lab_B[15,17)",0.801741702443295
"Lab_B[17,)",1.22599245337456
"Vital_A[73,82)",0.479054752059403
"Vital_A[82,89)",0.706102488277684
"Vital_A[89,99)",0.902728938726633
"Vital_A[99,)",1.32964149398495
"Lab_G[11,13)",-0.659771096238188
"Lab_G[13,)",-1.09070735931179
"Lab_G[9,11)",-0.358249406425101
"Vital_B[105,115)",-0.245746752742852
"Vital_B[115,123)",-0.390739141572079
"Vital_B[123,133)",-0.423096004831226
"Vital_B[133,)",-0.625191093313366
"Vital_C[52,59)",-0.175189470050392
"Vital_C[59,64)",-0.281217875336728
"Vital_C[64,71)",-0.333422260631991
"Vital_C[71,)",-0.666713639100303
"Lab_M[10,14)",0.332034661404841
"Lab_M[14,19)",0.435947799283596
"Lab_M[19,)",0.681834105990344
"Lab_M[4,10)",0.170484467777263
"Lab_C[20,23)",-0.0723291606581191
"Lab_C[23,25)",-0.0771024182241571
"Lab_C[25,28)",-0.0490569894554983
"Lab_C[28,)",0.00138639456499135
"Lab_J[4,5)",-0.192413060549899
"Lab_J[5,)",-0.498510873176113
"Lab_F[28,31)",0.0812707112495939
"Lab_F[31,34)",0.168127865446507
"Lab_F[34,38)",0.209197100682045
"Lab_F[38,)",0.419662550926801
"Vital_D[69,76)",0.129222208640351
"Vital_D[76,82)",0.174471292638419
"Vital_D[82,88)",0.266915257342007
"Vital_D[88,)",0.290571896871169
"Lab_I[130,196)",-0.198219914201443
"Lab_I[196,258)",-0.364289679001737
"Lab_I[258,327)",-0.405587541626956
"Lab_I[327,)",-0.638155158030805
