"","V1"
"Vital_E[15,18)",0.520576311438771
"Vital_E[18,20)",0.806004391672814
"Vital_E[20,22)",1.00261061065056
"Vital_E[22,)",1.39629752899879
"Age[49,59)",0.589572740125826
"Age[59,67)",1.00441309059651
"Age[67,75)",1.28924062694831
"Age[75,)",1.83803111135777
"Lab_H[1,2)",0.533171380157663
"Lab_H[2,3)",0.976144983132545
"Lab_H[3,)",1.53386680365803
"Lab_K[19,30)",0.551426821779617
"Lab_K[30,42)",0.803259594214921
"Lab_K[42,)",1.1967748829304
"Lab_K[8,19)",0.292532466379982
"Lab_B[11,13)",0.237140402191479
"Lab_B[13,15)",0.530484588223711
"Lab_B[15,17)",0.737193019368855
"Lab_B[17,)",1.05981598678748
"Vital_A[73,82)",0.477954717670117
"Vital_A[82,89)",0.656309190629435
"Vital_A[89,99)",0.804444861465595
"Vital_A[99,)",1.19641228676422
"Lab_G[11,13)",-0.632327353770497
"Lab_G[13,)",-1.00360407070923
"Lab_G[9,11)",-0.331463516706462
"Vital_B[105,115)",-0.150712501132956
"Vital_B[115,123)",-0.287682499373863
"Vital_B[123,133)",-0.316563393897249
"Vital_B[133,)",-0.478792328100768
"Vital_C[52,59)",-0.145199712912644
"Vital_C[59,64)",-0.236980417397835
"Vital_C[64,71)",-0.240453977843732
"Vital_C[71,)",-0.468922141377298
"Lab_M[10,14)",0.302689196372969
"Lab_M[14,19)",0.378206692298373
"Lab_M[19,)",0.578590171247724
"Lab_M[4,10)",0.175095889567475
"Lab_C[20,23)",-0.0138556195219584
"Lab_C[23,25)",-0.0667087441285799
"Lab_C[25,28)",-0.0390902942853187
"Lab_C[28,)",-0.0706315180836949
"Lab_J[4,5)",-0.258351789110771
"Lab_J[5,)",-0.483787293146609
"Lab_F[28,31)",0.0358677771778718
"Lab_F[31,34)",0.204783019716289
"Lab_F[34,38)",0.224941628241482
"Lab_F[38,)",0.37421190956829
