"","V1"
"Vital_E[15,18)",0.563197532160879
"Vital_E[18,20)",0.874513988286121
"Vital_E[20,22)",1.08185129231022
"Vital_E[22,)",1.50380238503513
"Age[49,59)",0.595761399365571
"Age[59,67)",1.02700032184559
"Age[67,75)",1.27485211482006
"Age[75,)",1.82101605864599
"Lab_H[1,2)",0.515115118791855
"Lab_H[2,3)",0.937102109170358
"Lab_H[3,)",1.46857304384959
"Lab_K[19,30)",0.545024804394159
"Lab_K[30,42)",0.764239895620994
"Lab_K[42,)",1.12915620336017
"Lab_K[8,19)",0.286632253678197
"Lab_B[11,13)",0.278043958909434
"Lab_B[13,15)",0.61949398050818
"Lab_B[15,17)",0.835485562398315
"Lab_B[17,)",1.20847296977683
"Vital_A[73,82)",0.481247710531847
"Vital_A[82,89)",0.681525824609066
"Vital_A[89,99)",0.843360080401953
"Vital_A[99,)",1.25757307701585
"Lab_G[11,13)",-0.68758234770527
"Lab_G[13,)",-1.08099918080147
"Lab_G[9,11)",-0.367702512625806
"Vital_B[105,115)",-0.170450905531155
"Vital_B[115,123)",-0.355037068127796
"Vital_B[123,133)",-0.39947882660095
"Vital_B[133,)",-0.594363923092501
"Vital_C[52,59)",-0.190998239691279
"Vital_C[59,64)",-0.345025592651778
"Vital_C[64,71)",-0.406765601047552
"Vital_C[71,)",-0.729566135764275
"Lab_M[10,14)",0.370097389660791
"Lab_M[14,19)",0.447269436789124
"Lab_M[19,)",0.701295325311649
"Lab_M[4,10)",0.20509371092656
"Lab_C[20,23)",0.00960146162242147
"Lab_C[23,25)",-0.0474664803575298
"Lab_C[25,28)",0.0121309089230703
"Lab_C[28,)",0.0187943956718085
"Lab_J[4,5)",-0.251609934874815
"Lab_J[5,)",-0.489060232190301
"Lab_F[28,31)",0.0629242876671634
"Lab_F[31,34)",0.210398915229659
"Lab_F[34,38)",0.25362290488126
"Lab_F[38,)",0.40560286393097
"Vital_D[69,76)",0.0742271008848615
"Vital_D[76,82)",0.157717160509642
"Vital_D[82,88)",0.279965966535182
"Vital_D[88,)",0.315762857263614
"Lab_I[130,196)",-0.211732895774688
"Lab_I[196,258)",-0.358233674435034
"Lab_I[258,327)",-0.433440445221901
"Lab_I[327,)",-0.664129151081633
"Vital_F[36,37)",-0.171732513148092
"Vital_F[37,)",-0.30821733230678
