"","V1"
"Vital_E[15,18)",0.526029850289905
"Vital_E[18,20)",0.812668396820128
"Vital_E[20,22)",1.04346704786156
"Vital_E[22,)",1.4430136594062
"Age[49,59)",0.640736998590355
"Age[59,67)",1.06202648393376
"Age[67,75)",1.31662745198799
"Age[75,)",1.89691558253646
"Lab_H[1,2)",0.49142909643739
"Lab_H[2,3)",0.8762210621139
"Lab_H[3,)",1.43608021239187
"Lab_K[19,30)",0.456807552716925
"Lab_K[30,42)",0.727643337209047
"Lab_K[42,)",1.08135006885573
"Lab_K[8,19)",0.253237346333861
"Lab_B[11,13)",0.268273243459145
"Lab_B[13,15)",0.511750641369612
"Lab_B[15,17)",0.6559673525368
"Lab_B[17,)",0.998338487363829
"Vital_A[73,82)",0.486455216355442
"Vital_A[82,89)",0.708913423374131
"Vital_A[89,99)",0.920293092786885
"Vital_A[99,)",1.31991928050203
"Lab_G[11,13)",-0.752305665772665
"Lab_G[13,)",-1.17862633267488
"Lab_G[9,11)",-0.423442179101189
"Vital_B[105,115)",-0.173266920604905
"Vital_B[115,123)",-0.350064059420929
"Vital_B[123,133)",-0.422066135551279
"Vital_B[133,)",-0.63977022679254
"Vital_C[52,59)",-0.132905779710288
"Vital_C[59,64)",-0.304546736060393
"Vital_C[64,71)",-0.380757526784576
"Vital_C[71,)",-0.731507883038852
"Lab_M[10,14)",0.329531888892925
"Lab_M[14,19)",0.42446027097544
"Lab_M[19,)",0.671027590657109
"Lab_M[4,10)",0.108508498406441
"Lab_C[20,23)",-0.14956744102892
"Lab_C[23,25)",-0.263481920177485
"Lab_C[25,28)",-0.289961019955382
"Lab_C[28,)",-0.362028211426166
"Lab_J[4,5)",-0.248792153884503
"Lab_J[5,)",-0.506544556132635
"Lab_F[28,31)",0.0962601481913151
"Lab_F[31,34)",0.220883372099271
"Lab_F[34,38)",0.274411261638331
"Lab_F[38,)",0.461050655852397
"Vital_D[69,76)",0.109273743855592
"Vital_D[76,82)",0.156683318240231
"Vital_D[82,88)",0.322588751774348
"Vital_D[88,)",0.41132286967057
"Lab_I[130,196)",-0.245835878465669
"Lab_I[196,258)",-0.398651471380082
"Lab_I[258,327)",-0.482531979125228
"Lab_I[327,)",-0.744752141595128
"Vital_F[36,37)",-0.140776256079841
"Vital_F[37,)",-0.310297609356469
"Vital_G[95,97)",-0.0889895415445423
"Vital_G[97,98)",-0.0720466958624439
"Vital_G[98,99)",-0.144502048580588
"Vital_G[99,)",-0.169364336950856
"Lab_A[103,129)",0.0927886283823332
"Lab_A[129,149)",0.150239806966396
"Lab_A[149,174)",0.171680415931071
"Lab_A[174,)",0.242863588877916
"Lab_L[135,137)",0.0174215639357568
"Lab_L[137,139)",0.0186928327336245
"Lab_L[139,142)",0.10824234244491
"Lab_L[142,)",0.125857204287577
"Lab_E[100,103)",-0.110141209420283
"Lab_E[103,106)",-0.211365231382822
"Lab_E[106,109)",-0.264408109500261
"Lab_E[109,)",-0.497998013706221
