"","V1"
"Vital_E[15,18)",0.449103917807354
"Vital_E[18,20)",0.71656961709426
"Vital_E[20,22)",0.930641129850851
"Vital_E[22,)",1.3197739230514
"Age[49,59)",0.656642005808404
"Age[59,67)",1.06271295538705
"Age[67,75)",1.32521333929766
"Age[75,)",1.87408358720399
"Lab_H[1,2)",0.481268596875034
"Lab_H[2,3)",0.939506446776173
"Lab_H[3,)",1.47875919617982
"Lab_K[19,30)",0.559148322682552
"Lab_K[30,42)",0.81844202293576
"Lab_K[42,)",1.19028534769941
"Lab_K[8,19)",0.274813906289291
"Lab_B[11,13)",0.26830940776479
"Lab_B[13,15)",0.528619678333145
"Lab_B[15,17)",0.697358190348906
"Lab_B[17,)",1.06926585157901
"Vital_A[73,82)",0.501971900812912
"Vital_A[82,89)",0.666705355863149
"Vital_A[89,99)",0.875288505598159
"Vital_A[99,)",1.24509420345369
"Lab_G[11,13)",-0.579484121875207
"Lab_G[13,)",-0.931267559647769
"Lab_G[9,11)",-0.298410579715485
"Vital_B[105,115)",-0.176184335359563
"Vital_B[115,123)",-0.293737035555187
"Vital_B[123,133)",-0.318851124856542
"Vital_B[133,)",-0.480412543688846
"Vital_C[52,59)",-0.159284117960345
"Vital_C[59,64)",-0.248546271951434
"Vital_C[64,71)",-0.258049517159119
"Vital_C[71,)",-0.530260288183006
"Lab_M[10,14)",0.295533760500787
"Lab_M[14,19)",0.400642592834336
"Lab_M[19,)",0.574410971720395
"Lab_M[4,10)",0.141988028828941
"Lab_C[20,23)",-0.0503215290509208
"Lab_C[23,25)",-0.0918219707321357
"Lab_C[25,28)",-0.0530032735792562
"Lab_C[28,)",-0.0760526455763185
"Lab_J[4,5)",-0.235654008342391
"Lab_J[5,)",-0.52765416201073
"Lab_F[28,31)",0.0590466997032035
"Lab_F[31,34)",0.19132597348478
"Lab_F[34,38)",0.202953474668576
"Lab_F[38,)",0.389222242076579
