"var","imp","rank"
"Age","0.143191547232933",1
"Vital_E","0.131641282590461",2
"Lab_K","0.11114274958703",3
"Lab_H","0.106104956026897",4
"Lab_B","0.0784104148625768",5
"Vital_A","0.050577655210836",6
"Lab_G","0.0421326755207731",7
"Lab_M","0.0181111208835116",8
"Vital_C","0.0176277861828283",9
"Lab_C","0.0124716745066756",10
"Lab_F","0.0119832491149521",11
"Lab_E","0.0101626164141831",12
"Vital_B","0.00992078153094751",13
"Lab_J","0.00861308652837891",14
"Lab_L","0.00719852728609049",15
"Lab_I","0.00684915476874639",16
"Vital_D","0.00679255246381854",17
"Lab_A","0.00585879968706484",18
"Vital_G","0.00416780530179415",19
"Lab_D","0.00338487063300887",20
"Vital_F","0.00328762411314822",21
