"","V1"
"Age[49,58)",0.491265163465853
"Age[58,67)",0.975043068606118
"Age[67,76)",1.33978961442444
"Age[76,)",1.93521532426317
"Vital_E[15,18)",0.575550099745727
"Vital_E[18,20)",0.813122866342095
"Vital_E[20,22)",1.05770744751513
"Vital_E[22,)",1.53682040869111
"Lab_H[1,2)",0.528788376485692
"Lab_H[2,3)",1.00612374426135
"Lab_H[3,)",1.55491157198939
"Lab_K[20,30)",0.703962731983877
"Lab_K[30,42)",0.895497732354763
"Lab_K[42,)",1.32490207515538
"Lab_K[8,20)",0.255612024184547
"Lab_B[11,13)",0.291180950827424
"Lab_B[13,15)",0.636221262353171
"Lab_B[15,17)",0.718506461115289
"Lab_B[17,)",1.15640491774568
"Vital_A[72,81)",0.454507583235272
"Vital_A[81,89)",0.636674565196443
"Vital_A[89,98)",0.85485357519376
"Vital_A[98,)",1.0541053498746
"Lab_G[11,13)",-0.525393785314161
"Lab_G[13,)",-0.673798536650857
"Lab_G[9,11)",-0.235803003039955
"Lab_M[10,14)",0.211290421431925
"Lab_M[14,19)",0.289961106021579
"Lab_M[19,)",0.442157606371106
"Lab_M[4,10)",0.140528237298478
"Vital_C[52,58)",-0.253331379420281
"Vital_C[58,64)",-0.551719381502572
"Vital_C[64,70)",-0.623522986461903
"Vital_C[70,)",-0.850356670583954
"Lab_F[28,31)",-0.0519639390625835
"Lab_F[31,34)",0.0811234785563753
"Lab_F[34,37)",0.107620875747035
"Lab_F[37,)",0.0292060620671331
"Vital_B[105,115)",-0.147147936355936
"Vital_B[115,123)",-0.282179758133278
"Vital_B[123,133)",-0.53753765630937
"Vital_B[133,)",-0.765364213848946
"Lab_C[20,23)",-0.127719509880498
"Lab_C[23,25)",-0.099760068435517
"Lab_C[25,28)",-0.0279281604844454
"Lab_C[28,)",-0.0266466109601138
"Vital_D[69,75)",0.245455222229184
"Vital_D[75,81)",0.413980710889146
"Vital_D[81,87)",0.718744001298776
"Vital_D[87,)",0.737197152438998
"Vital_G[95,97)",-0.078782869907274
"Vital_G[97,98)",-0.108031120342467
"Vital_G[98,99)",-0.213188721155962
"Vital_G[99,)",-0.174378504889992
"Lab_J[4,5)",-0.298153519598012
"Lab_J[5,)",-0.547179593730843
