"","V1"
"Age[49,58)",0.487004316853072
"Age[58,67)",0.957474283767754
"Age[67,76)",1.29570216041751
"Age[76,)",1.90593585307809
"Vital_E[15,18)",0.636772363035437
"Vital_E[18,20)",0.856126846506673
"Vital_E[20,22)",1.13826301657623
"Vital_E[22,)",1.62263933217713
"Lab_H[1,2)",0.508106296272627
"Lab_H[2,3)",0.964880404836033
"Lab_H[3,)",1.51024361382415
"Lab_K[20,30)",0.851998502339657
"Lab_K[30,42)",1.0764202975984
"Lab_K[42,)",1.58888843731174
"Lab_K[8,20)",0.35032246570437
"Lab_B[11,13)",0.317365270685271
"Lab_B[13,15)",0.699892018424879
"Lab_B[15,17)",0.819269582578112
"Lab_B[17,)",1.29870076241612
"Vital_A[72,81)",0.459008442272713
"Vital_A[81,89)",0.671867396456929
"Vital_A[89,98)",0.919747928215647
"Vital_A[98,)",1.11077425411771
"Lab_G[11,13)",-0.728635140475556
"Lab_G[13,)",-1.00367223692333
"Lab_G[9,11)",-0.302773137773881
"Lab_M[10,14)",0.246125025804925
"Lab_M[14,19)",0.328623493253746
"Lab_M[19,)",0.539853069966145
"Lab_M[4,10)",0.169845466064556
"Vital_C[52,58)",-0.206155706239626
"Vital_C[58,64)",-0.521411982530181
"Vital_C[64,70)",-0.614562193545896
"Vital_C[70,)",-0.84037611839111
"Lab_F[28,31)",0.00629969541362604
"Lab_F[31,34)",0.186440215926206
"Lab_F[34,37)",0.262488233870037
"Lab_F[37,)",0.256934330028183
"Vital_B[105,115)",-0.205170056973818
"Vital_B[115,123)",-0.325948867030864
"Vital_B[123,133)",-0.563413377303001
"Vital_B[133,)",-0.787241176785662
"Lab_C[20,23)",-0.164936968578971
"Lab_C[23,25)",-0.193244916885701
"Lab_C[25,28)",-0.109884949547988
"Lab_C[28,)",-0.167039802683668
"Vital_D[69,75)",0.234844192337215
"Vital_D[75,81)",0.417690175793722
"Vital_D[81,87)",0.745355580099617
"Vital_D[87,)",0.744714443813877
"Vital_G[95,97)",-0.111517442761353
"Vital_G[97,98)",-0.11982314886397
"Vital_G[98,99)",-0.228630270691414
"Vital_G[99,)",-0.185838375859881
"Lab_J[4,5)",-0.270626633888885
"Lab_J[5,)",-0.505122443003375
"Lab_D[1,2)",-0.342806964538947
"Lab_D[2,3)",-0.416112942384107
"Lab_D[3,)",-0.672881022839391
"Vital_F[36,37)",-0.223513851952701
"Vital_F[37,)",-0.279839656238603
"Lab_E[100,103)",-0.0711042311606522
"Lab_E[103,106)",-0.0516881011809417
"Lab_E[106,109)",-0.153598094226038
"Lab_E[109,)",-0.338232816174788
"Lab_I[131,197)",-0.113610168348832
"Lab_I[197,258)",-0.329765561557066
"Lab_I[258,328)",-0.371764902957431
"Lab_I[328,)",-0.593772056977819
"Lab_A[103,127)",0.0520808679021232
"Lab_A[127,148)",0.135761328273809
"Lab_A[148,172)",0.0427889225677468
"Lab_A[172,)",0.178091895553862
