"","V1"
"Age[49,58)",0.459573996607788
"Age[58,67)",0.959149536373689
"Age[67,76)",1.31835839692683
"Age[76,)",1.89437727739278
"Vital_E[15,18)",0.572727664172932
"Vital_E[18,20)",0.848135064747519
"Vital_E[20,22)",1.06648818215926
"Vital_E[22,)",1.58324215137882
"Lab_H[1,2)",0.510430899850609
"Lab_H[2,3)",0.982165586574927
"Lab_H[3,)",1.52577333262851
"Lab_K[20,30)",0.630981059702454
"Lab_K[30,42)",0.80239474193046
"Lab_K[42,)",1.17134389885096
"Lab_K[8,20)",0.206780802995654
"Lab_B[11,13)",0.281356470667658
"Lab_B[13,15)",0.628636869043893
"Lab_B[15,17)",0.711181012440547
"Lab_B[17,)",1.13130279194792
"Vital_A[72,81)",0.455222262111284
"Vital_A[81,89)",0.609899665178393
"Vital_A[89,98)",0.830524361269837
"Vital_A[98,)",1.0263502711342
"Lab_G[11,13)",-0.46226765569411
"Lab_G[13,)",-0.571890837439557
"Lab_G[9,11)",-0.204110443081055
"Lab_M[10,14)",0.227536236036014
"Lab_M[14,19)",0.300648049863298
"Lab_M[19,)",0.438144311498754
"Lab_M[4,10)",0.144614961678306
"Vital_C[52,58)",-0.229203838729819
"Vital_C[58,64)",-0.506051926850703
"Vital_C[64,70)",-0.581477000995443
"Vital_C[70,)",-0.843909223113119
"Lab_F[28,31)",-0.0515091674184906
"Lab_F[31,34)",0.0478190053515707
"Lab_F[34,37)",0.0652863525189178
"Lab_F[37,)",-0.0265525026589646
"Vital_B[105,115)",-0.118276151893566
"Vital_B[115,123)",-0.251587017275374
"Vital_B[123,133)",-0.490871661821648
"Vital_B[133,)",-0.708650310185895
"Lab_C[20,23)",-0.130648532369522
"Lab_C[23,25)",-0.0969231031233368
"Lab_C[25,28)",-0.02086465712338
"Lab_C[28,)",-0.0126185717430667
"Vital_D[69,75)",0.207481195197604
"Vital_D[75,81)",0.354060086927266
"Vital_D[81,87)",0.650311685934589
"Vital_D[87,)",0.702222778281006
