"","V1"
"Age[49,58)",0.5384398630389
"Age[58,67)",0.965062185739333
"Age[67,76)",1.30226298327215
"Age[76,)",1.88890822994093
"Vital_E[15,18)",0.616441149732749
"Vital_E[18,20)",0.915226937877066
"Vital_E[20,22)",1.17578730760638
"Vital_E[22,)",1.62962534125753
"Lab_H[1,2)",0.507885070931893
"Lab_H[2,3)",0.931587817267332
"Lab_H[3,)",1.5107162577851
"Lab_K[20,30)",0.829112239407658
"Lab_K[30,42)",1.08202141135278
"Lab_K[42,)",1.63441008928066
"Lab_K[8,20)",0.379346977837676
"Lab_B[11,13)",0.352384426277724
"Lab_B[13,15)",0.747113380244445
"Lab_B[15,17)",0.896617837783649
"Lab_B[17,)",1.34924373555398
"Vital_A[72,81)",0.466820408008162
"Vital_A[81,89)",0.595581438779623
"Vital_A[89,98)",0.902793871482935
"Vital_A[98,)",1.13271045973652
"Lab_G[11,13)",-0.566606067798338
"Lab_G[13,)",-0.912998379191593
"Lab_G[9,11)",-0.16629902815103
"Lab_M[10,14)",0.205084583231514
"Lab_M[14,19)",0.29269025543411
"Lab_M[19,)",0.590638698443512
"Lab_M[4,10)",0.198789869712771
"Vital_C[52,58)",-0.177495212263688
"Vital_C[58,64)",-0.509684750117297
"Vital_C[64,70)",-0.603020756223223
"Vital_C[70,)",-0.784395839618267
"Lab_F[28,31)",-0.114044763055508
"Lab_F[31,34)",0.0160292255476262
"Lab_F[34,37)",0.094957944962514
"Lab_F[37,)",0.165130904550972
"Vital_B[105,115)",-0.192394341785659
"Vital_B[115,123)",-0.341208675618222
"Vital_B[123,133)",-0.525049534795327
"Vital_B[133,)",-0.746138237489901
"Lab_C[20,23)",-0.0814843263230193
"Lab_C[23,25)",-0.102188111188348
"Lab_C[25,28)",-0.0609060341886581
"Lab_C[28,)",-0.164820357173734
"Vital_D[69,75)",0.204251045807802
"Vital_D[75,81)",0.355920152283531
"Vital_D[81,87)",0.667424377807968
"Vital_D[87,)",0.651392437220933
"Vital_G[95,97)",0.00927744537179205
"Vital_G[97,98)",-0.0429594124013891
"Vital_G[98,99)",-0.0092449001110702
"Vital_G[99,)",-0.0134476533352584
"Lab_J[4,5)",-0.284197875655385
"Lab_J[5,)",-0.4907943876699
"Lab_D[1,2)",-0.353377093912708
"Lab_D[2,3)",-0.495246574486927
"Lab_D[3,)",-0.801191325408689
"Vital_F[36,37)",-0.147681079159755
"Vital_F[37,)",-0.176434904678899
"Lab_E[100,103)",-0.120951336139016
"Lab_E[103,106)",-0.199153369977104
"Lab_E[106,109)",-0.23300749339309
"Lab_E[109,)",-0.583656950528091
"Lab_I[131,197)",-0.219286520568179
"Lab_I[197,258)",-0.438433959301736
"Lab_I[258,328)",-0.460369266871398
"Lab_I[328,)",-0.709289935506218
