"","V1"
"Age[49,58)",0.48486290254089
"Age[58,67)",0.948060607782945
"Age[67,76)",1.27919795434605
"Age[76,)",1.88316589505013
"Vital_E[15,18)",0.568200324043083
"Vital_E[18,20)",0.813541389317695
"Vital_E[20,22)",1.05026219530502
"Vital_E[22,)",1.53782168267204
"Lab_H[1,2)",0.528551118371463
"Lab_H[2,3)",1.00019009136782
"Lab_H[3,)",1.54523497345105
"Lab_K[20,30)",0.838102552918566
"Lab_K[30,42)",1.08313232636479
"Lab_K[42,)",1.57694784816388
"Lab_K[8,20)",0.315177721183926
"Lab_B[11,13)",0.332156050395785
"Lab_B[13,15)",0.703182316782208
"Lab_B[15,17)",0.837896284578582
"Lab_B[17,)",1.33818665494341
"Vital_A[72,81)",0.455300417904187
"Vital_A[81,89)",0.650184185593647
"Vital_A[89,98)",0.873349953643906
"Vital_A[98,)",1.07245750745443
"Lab_G[11,13)",-0.616196539276307
"Lab_G[13,)",-0.800783104942576
"Lab_G[9,11)",-0.275165320120092
"Lab_M[10,14)",0.196193087203898
"Lab_M[14,19)",0.270844490624871
"Lab_M[19,)",0.43566181168739
"Lab_M[4,10)",0.125621438281804
"Vital_C[52,58)",-0.247955459502448
"Vital_C[58,64)",-0.548536559547696
"Vital_C[64,70)",-0.633185372809183
"Vital_C[70,)",-0.906372102573995
"Lab_F[28,31)",-0.01222793911879
"Lab_F[31,34)",0.122145739850308
"Lab_F[34,37)",0.165504502109123
"Lab_F[37,)",0.0934856454056888
"Vital_B[105,115)",-0.170262403694109
"Vital_B[115,123)",-0.293382202121479
"Vital_B[123,133)",-0.545583541068635
"Vital_B[133,)",-0.764119689836955
"Lab_C[20,23)",-0.104019632625071
"Lab_C[23,25)",-0.0750542902489611
"Lab_C[25,28)",0.00492428843540463
"Lab_C[28,)",-0.00840675318798349
"Vital_D[69,75)",0.248681126289825
"Vital_D[75,81)",0.414822954682783
"Vital_D[81,87)",0.71753475432385
"Vital_D[87,)",0.75579271478653
"Vital_G[95,97)",-0.0903114424206059
"Vital_G[97,98)",-0.132127795451641
"Vital_G[98,99)",-0.189879996499204
"Vital_G[99,)",-0.190366590239662
"Lab_J[4,5)",-0.266914983592118
"Lab_J[5,)",-0.486305267832646
"Lab_D[1,2)",-0.334239572876332
"Lab_D[2,3)",-0.347352227742641
"Lab_D[3,)",-0.599548198417248
"Vital_F[36,37)",-0.168956257672046
"Vital_F[37,)",-0.236148368495402
