"","V1"
"Age[49,58)",0.507429810593584
"Age[58,67)",0.960515981566117
"Age[67,76)",1.29931948341089
"Age[76,)",1.85252190635563
"Vital_E[15,18)",0.537012630100522
"Vital_E[18,20)",0.869335107914838
"Vital_E[20,22)",1.05582861168388
"Vital_E[22,)",1.54685637565001
"Lab_H[1,2)",0.485651396935816
"Lab_H[2,3)",0.907289775018636
"Lab_H[3,)",1.49500427411394
"Lab_K[20,30)",0.580495240837824
"Lab_K[30,42)",0.746425478624205
"Lab_K[42,)",1.12000568728514
"Lab_K[8,20)",0.21485248399454
"Lab_B[11,13)",0.272435400022544
"Lab_B[13,15)",0.65122463440291
"Lab_B[15,17)",0.750247274855512
"Lab_B[17,)",1.13785698235096
"Vital_A[72,81)",0.466779937153091
"Vital_A[81,89)",0.553165441063164
"Vital_A[89,98)",0.807131846999624
"Vital_A[98,)",1.09002054982241
"Lab_G[11,13)",-0.327487270695366
"Lab_G[13,)",-0.548031443345014
"Lab_G[9,11)",-0.0680315633558345
"Lab_M[10,14)",0.168339920070027
"Lab_M[14,19)",0.26142673526322
"Lab_M[19,)",0.454104307739771
"Lab_M[4,10)",0.135677564134105
"Vital_C[52,58)",-0.182075482932689
"Vital_C[58,64)",-0.505259858435685
"Vital_C[64,70)",-0.579625193478695
"Vital_C[70,)",-0.70931013270251
"Lab_F[28,31)",-0.16831593246355
"Lab_F[31,34)",-0.0911346886342884
"Lab_F[34,37)",-0.0612651883774253
"Lab_F[37,)",-0.0961003747756056
"Vital_B[105,115)",-0.16002679262386
"Vital_B[115,123)",-0.318512272010909
"Vital_B[123,133)",-0.477600200922371
"Vital_B[133,)",-0.696301811402317
"Lab_C[20,23)",-0.0227381259261229
"Lab_C[23,25)",-0.000657003822768609
"Lab_C[25,28)",0.0495726110939021
"Lab_C[28,)",0.0538639994110508
"Vital_D[69,75)",0.199558370298137
"Vital_D[75,81)",0.345499268831456
"Vital_D[81,87)",0.587165472421134
"Vital_D[87,)",0.581444735861738
